"type","species","mean","low","high"
"AB","N2",0.58415185046053,0.578375508033694,0.5901830441035
"AB","AF16",0.574754762184561,0.570672104158536,0.579635920577603
"P1","N2",0.515775446137435,0.510374560257811,0.521920818280446
"P1","AF16",0.525340928980968,0.521771641512027,0.528879186288701
