"type","species","mean","low","high"
"ABa","N2",0.351545155961388,0.346645856069268,0.356537021663793
"ABa","AF16",0.339109259477018,0.335916469986352,0.342662546436106
"ABp","N2",0.381492519372961,0.377765440952364,0.384959346769477
"ABp","AF16",0.381832664995865,0.379469848132058,0.384263338020186
"EMS","N2",0.334369968503854,0.329922277177069,0.338819834147328
"EMS","AF16",0.345590663549803,0.342676824577599,0.348561806063372
"P2","N2",0.286100425841195,0.281041367191576,0.291683947092689
"P2","AF16",0.286472286612336,0.282582551797122,0.290933371585015
