"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"-0.19002006295391","0.114670871656376","-0.0322886189781137","0.19445060404649","0.153750962925873","0.138789277749648","-0.32810939172482","-0.0321260868736239","-0.0949604874037818","-0.011446659857077","0.0996551608472821","0.00527617527262495","0.327219658707689","0.0276525331460096","-0.118523806968187","-0.144541333473185","0.0410073503039366","-0.184221565176547","0.186491326695282","-0.108433234647325","-0.300066922165351","0.0751860143665021","-0.127431160753809","0.187883572659973","0.069815713541783","0.181997700110416","0.259762903188426","0.130938923124901","0.282399760760264","-0.0844735873790533","0.124583389753784","-0.169876566759306","-0.0375671719209164","-0.177852839854706","-0.253141108614249","-0.142198039485629","AF16","20C"
"-0.213703582537359","0.129645299322067","-0.0320745871074595","0.203347498521341","0.13853643429234","0.143651244896898","-0.3196722711541","-0.0303030687617101","-0.0707716734950421","0.00823520919112415","0.0831958163817588","0.0156218856787643","0.298595665906407","0.025012358335334","-0.110711408299868","-0.159111826743872","0.0418066208648984","-0.198335090380541","0.185935945348755","-0.118424076550098","-0.297899405406248","0.0753668727739782","-0.131015218626208","0.196348990913701","0.0708791667674844","0.187873373948949","0.255369258913458","0.12530652489788","0.281697194150846","-0.0823570908012034","0.132669734463291","-0.184282701285536","-0.0412634163036918","-0.193432749473145","-0.245304711435657","-0.132239438491257","AF16","20C"
"-0.225811469996841","0.12683368646266","-0.0328985037690341","0.189047868915828","0.139603128692733","0.119325398322084","-0.339195212061538","-0.0346407680300499","-0.0853659819844041","-0.00770839936499531","0.0936505782408415","0.0191146510128877","0.321991548123514","0.0281678681501074","-0.107631273023577","-0.133783227401669","0.0416047237738926","-0.176393379774361","0.182873539253856","-0.0965573808424727","-0.314044832051037","0.0853369826939454","-0.128832038806488","0.190110553487062","0.0685478840484112","0.182922288899161","0.25489601833386","0.122770422692294","0.288123847030035","-0.0900945226868992","0.125850066904019","-0.171644344382682","-0.0354306332007776","-0.17288898150843","-0.250109329734126","-0.131904088380685","AF16","20C"
"-0.202363305261398","0.131493289854436","-0.0317641888763492","0.193456585523554","0.133615839916978","0.143335707000539","-0.328192298816047","-0.0323449516208962","-0.0953262412075834","-0.00309752340540513","0.0960754309594964","0.00544484534688779","0.326234594578939","0.0280630521163209","-0.11348647750164","-0.151120904984994","0.0405152072375813","-0.180157369739426","0.1712184332873","-0.110038104487514","-0.297991537117639","0.0745370672767135","-0.127588923307693","0.187841759504931","0.0730092775521762","0.193072366543665","0.257265790118985","0.128085865026464","0.283247286918757","-0.0861793322617665","0.124459324908754","-0.169570361275861","-0.0391508038390828","-0.182592469607172","-0.251827765479978","-0.140640411070194","AF16","20C"
"-0.210145913117717","0.121961574802442","-0.0321329432836189","0.195702450349951","0.157048713438274","0.131151176819529","-0.345652407431029","-0.0368065039785632","-0.0862542957157133","0.00188597673779836","0.109009183908299","0.0122572548879326","0.279483629339558","0.0250641394904498","-0.109351840617967","-0.139211294715632","0.0416345410603296","-0.198063501777682","0.192238058027367","-0.113196973125065","-0.32248813246185","0.0947682179813899","-0.126992910632094","0.186184538859591","0.0705438593784342","0.186636696584871","0.246625228559947","0.114118998398401","0.251362605107061","-0.0618451312443243","0.132405472577182","-0.183489875995054","-0.0392333222869362","-0.187190351341435","-0.258138248595418","-0.154045885006362","AF16","20C"
"-0.203277963274146","0.133734442829756","-0.03134247579324","0.183150473956669","0.142760572402425","0.133014457078779","-0.344930224072964","-0.0364216087339823","-0.101074751376425","-0.00756878119524679","0.107417797736757","0.0284350119362542","0.316363537574579","0.0268291084714794","-0.122477535698678","-0.143845186690075","0.0404896127771902","-0.181786666217988","0.180140017573474","-0.104069400789606","-0.305419456376932","0.081434219291413","-0.124842714070928","0.179771471707539","0.0704829126474791","0.184651388196055","0.254045962492293","0.124643466110198","0.276741625614671","-0.080096814918744","0.124464000674971","-0.16998622810259","-0.038819154364299","-0.182593621206816","-0.251968201461979","-0.142358883248772","AF16","20C"
"-0.195216489044369","0.134493205835212","-0.031551688707722","0.190481625019544","0.143277258703703","0.142620578312021","-0.326944474401208","-0.0317619961375979","-0.0773430855316804","-0.0170643811768063","0.117517824423106","-0.00139948452747787","0.305492562178386","0.0254768747093006","-0.134415784727721","-0.171880536385169","0.0416422673456587","-0.19294869581319","0.184118456133548","-0.109914128000072","-0.303360176885389","0.0788284691342449","-0.125164080640046","0.180972051598392","0.0714810649088331","0.187129258308571","0.256957256088969","0.126476224343622","0.266999731688071","-0.069886900450801","0.124454229867473","-0.169818365225903","-0.0417679804152804","-0.199571692259145","-0.250311646389698","-0.140500809635684","AF16","20C"
"-0.210758562419709","0.141410977043087","-0.0335725147013866","0.192164107806242","0.142478536185712","0.140770531961737","-0.337688441457075","-0.0356423293389192","-0.0838906090742402","0.00690659241802886","0.10417557383285","0.0212524082891887","0.299599473232252","0.0256022545262225","-0.111076664210065","-0.148718904841697","0.0418738994986659","-0.189718038553095","0.197088913315593","-0.106343767237208","-0.304465161437857","0.0787304586765994","-0.130018974795577","0.194263881942642","0.0675209462820312","0.17663535508384","0.247044944176321","0.1146526923276","0.280287231778028","-0.0802133800831431","0.131390428659583","-0.181198365266106","-0.038066414116993","-0.183137534933106","-0.2483587676959","-0.135327265612984","AF16","20C"
"-0.224162661804045","0.131467158329503","-0.0301238202602656","0.175661902847074","0.152911410072533","0.137135496210997","-0.342083340929349","-0.0355249737268799","-0.0771229487021514","-0.00659771452211315","0.0971488959385515","0.000174253001527538","0.299307458071636","0.0249620372951452","-0.123208152976594","-0.134930180973198","0.0407885563767994","-0.181315315661837","0.203719059968846","-0.107623756767313","-0.314002250638226","0.0859746150937036","-0.124025897967022","0.170784908253416","0.0714225816572649","0.184320616680972","0.255414225048603","0.123715052968331","0.27616682984914","-0.0774396286826705","0.126665376859581","-0.173919276496375","-0.0391276568750615","-0.185309729692476","-0.252408089275132","-0.139403489503713","AF16","20C"
"-0.19467779449874","0.130810671230278","-0.0320652692951035","0.217776132275131","0.148767342661513","0.15034911724376","-0.320322384720631","-0.0313526240854321","-0.0817304169023761","0.00158168154185391","0.0858261570884826","0.0180635553834953","0.302081087468493","0.0255008694661006","-0.112582347850626","-0.168888015289686","0.0437885618058002","-0.201312793470853","0.159893248377827","-0.115402506626166","-0.29048546243609","0.0696201843392561","-0.133287618500133","0.198808862117456","0.0754925445458871","0.200588631291602","0.256059165838059","0.126455632074644","0.275008570597958","-0.0781748128450173","0.121620991402872","-0.165883334598646","-0.042995290837677","-0.202545266495532","-0.248294023485061","-0.138766385757447","AF16","20C"
"-0.199678705167101","0.132639696428428","-0.0326192563008486","0.206967668300926","0.15479990823812","0.126709333599668","-0.329677097155116","-0.0335244988676456","-0.0752667579043546","0.000154997471544419","0.101090914342485","0.0128772378547994","0.317455433678314","0.0269085930378518","-0.135695722564477","-0.163708884239909","0.0420230774955698","-0.192579399449721","0.160868098541175","-0.0961492140216699","-0.294943521532145","0.071208711204304","-0.126565887860605","0.184657876527511","0.0757097009258485","0.200831929401799","0.255831958285518","0.125636890569913","0.269828000403931","-0.0691801363100042","0.112428265235076","-0.154850312441884","-0.0410323845806867","-0.194544929473107","-0.259847767403395","-0.154176177135038","AF16","20C"
